Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
7/1/2020,16,14,27,38,44,57,54,68,65,58,68,61,66,68,64,68,72,73,66,51,36,41,28,23
7/2/2020,23,17,27,32,49,59,56,55,62,55,71,63,52,65,58,57,58,49,67,57,44,44,34,21
7/3/2020,26,20,23,30,51,53,63,58,56,64,57,60,55,63,62,63,57,67,62,53,57,38,25,26
7/4/2020,15,12,17,30,41,53,54,61,71,65,65,59,53,66,58,58,61,61,62,63,59,38,27,28
7/5/2020,22,19,21,32,46,53,66,57,63,64,59,63,56,61,65,67,68,65,74,64,50,43,34,18
7/6/2020,22,22,13,30,49,60,63,70,59,53,57,65,53,70,76,75,62,60,72,61,52,38,33,23
7/7/2020,19,19,24,32,47,67,65,64,55,58,69,60,65,67,63,65,69,65,71,59,45,41,33,21
7/8/2020,11,13,23,36,47,61,62,62,66,57,56,49,51,59,66,59,64,65,68,66,55,38,29,20
7/9/2020,17,16,14,34,51,56,63,60,65,66,62,58,62,61,57,58,55,69,70,64,51,37,28,26
7/10/2020,19,16,19,38,47,59,61,70,64,68,67,65,66,62,63,63,63,71,62,57,47,38,30,21
7/11/2020,19,20,20,36,43,60,73,67,60,61,64,65,55,58,64,67,63,61,66,63,44,34,25,22
7/12/2020,20,16,19,29,49,57,58,57,52,56,58,54,61,62,62,55,65,67,71,65,47,36,20,18
7/13/2020,16,20,18,29,44,57,59,61,53,71,62,65,70,63,71,77,77,68,72,68,53,36,30,27
7/14/2020,21,16,22,41,54,62,58,69,63,60,70,61,63,64,52,55,61,66,68,64,48,39,35,28
7/15/2020,17,16,18,37,42,54,56,60,54,58,56,61,63,64,61,57,55,61,63,56,43,43,30,21
7/16/2020,19,21,17,33,52,59,64,63,69,57,65,70,64,64,66,59,62,58,70,65,49,34,28,22
7/17/2020,18,10,21,32,43,56,64,66,63,63,63,59,64,55,61,58,57,59,59,53,46,36,32,26
7/18/2020,21,12,22,35,37,44,57,64,51,61,57,68,66,64,71,59,61,62,63,56,44,35,30,23
7/19/2020,20,17,15,22,41,45,67,66,59,60,61,57,55,63,65,59,63,63,69,61,41,44,33,23
7/20/2020,17,17,21,32,52,60,64,62,66,67,62,70,63,69,63,66,60,68,68,62,49,41,25,19
7/21/2020,17,20,24,39,38,66,65,61,66,67,74,71,64,60,62,64,67,73,64,63,47,39,25,25
7/22/2020,14,20,28,35,47,60,63,65,63,56,62,75,70,68,58,61,65,67,64,46,33,38,26,21
7/23/2020,20,19,18,38,41,57,62,63,73,62,62,65,71,77,67,62,65,67,69,66,47,32,26,20
7/24/2020,11,20,22,38,51,51,60,62,62,63,59,58,59,66,67,72,64,60,67,61,42,35,34,26
7/25/2020,17,20,16,28,44,54,53,54,69,52,65,69,69,59,58,62,69,68,68,56,54,36,25,20
7/26/2020,10,9,12,20,43,52,62,67,66,66,65,65,61,63,61,65,58,64,65,58,49,46,23,21
7/27/2020,14,15,20,28,46,57,65,68,60,69,60,69,64,68,58,64,61,74,76,71,53,38,24,21
7/28/2020,16,21,24,28,46,66,62,58,65,66,67,75,65,65,61,61,59,60,66,69,52,43,30,17
7/29/2020,20,20,20,27,46,61,67,71,68,65,66,62,65,66,65,64,70,70,66,62,52,38,25,18
7/30/2020,19,21,26,40,52,63,60,64,69,57,67,67,70,66,61,61,67,73,70,63,52,36,31,19
7/31/2020,17,13,20,37,49,62,64,64,65,66,73,68,71,67,61,64,64,62,59,52,46,42,31,19
